video,numFrame,seconds,fps,rfps,subset,featureFrame
J8wvNn5iJyw,8642,298,29,29,validation,8642
duwYE6Uafnw,8584,296,29,29,training,8584
b90mvypWEKc,8584,296,29,29,training,8584
WfiRzjOPbJQ,8910,297,30,30,training,8910
948flUoH1DE,8874,306,29,29,null,8874
_NH2uoHPe7I,7128,297,24,24,training,7128
dfVzsSWKj9I,7425,297,25,25,training,7425
dHttkJqiAng,9744,336,29,29,training,9744
i5bKgqJg8u8,7152,298,24,24,training,7152
FgrbfLwfGkk,8642,298,29,29,training,8642
E7_2Dd5nhWQ,8940,298,30,30,validation,8940
l0_eD7o_k54,8575,343,25,25,training,8575
vfm4Ru4-c7Y,9210,307,30,30,training,9210
VpV6zspUydI,8970,299,30,30,validation,8970
nlOpqJOq5ew,9720,324,30,30,training,9720
1bvXuxod_3A,240,8,30,30,validation,240
3aksT-t1uho,960,32,30,30,null,960
48D45U1m1EM,390,13,30,30,validation,390
x75br2C2N-I,90,3,30,30,training,90
vaLNJUHtl8s,232,8,29,29,training,232
RcfJmUCvzjA,300,10,30,30,training,300
9lUB-djxeTs,580,20,29,29,training,580
dJdYusfE4J8,120,4,30,30,validation,120
d9O6i_9fEXk,300,10,30,30,training,300
du878iSJiqI,5190,173,30,30,training,5190
vuz6819jvjQ,1160,40,29,29,training,1160
NASXsW_Wa4M,275,11,25,25,validation,275
gGmW3AJyyAI,960,64,15,15,training,960
z9oiEyi7WuE,100,4,25,25,training,100
MlVNzVTnI54,90,3,30,30,validation,90
8rOd1TolxFI,90,3,30,30,training,90
_ijrtA6Yt5Y,300,20,15,15,training,300
P0SGoeIcTQ0,1000,40,25,25,training,1000
Qr4_3nARc3g,319,11,29,29,training,319
wdHNf6naysw,270,9,30,30,training,270
DjpsYUpEIDE,240,8,30,30,training,240
YMzD0V18B0M,60,3,20,20,training,60
963NXkn3_K8,360,15,24,24,training,360
kjn3xDt_GhE,600,20,30,30,validation,600
gxL-xJuhdVc,348,12,29,29,training,348
yu5WIL7RFAg,1020,34,30,30,training,1020
Ch3Ay_1QEak,126,6,21,21,training,126
PyFXegwPhho,290,10,29,29,training,290
IK1_Cbq5Xgk,87,3,29,29,training,87
Eu8dRMyRt7A,420,30,14,14,validation,420
07vCKLlDXKI,1770,59,30,30,training,1770
IhSFYbY7QJ8,87,3,29,29,training,87
4M1yNv3Cyzw,930,31,30,30,training,930
H0-ph955ef4,725,25,29,29,training,725
y93u0hTmeVc,90,3,30,30,training,90
TyBU-Y0D_g0,180,6,30,30,training,180
aPCwHWV0Vhs,750,25,30,30,training,750
S2XILDvhLGA,1005,67,15,15,training,1005
riuwLHIxuAk,1425,57,25,25,validation,1425
hFId_cgnhu8,87,3,29,29,training,87
vdjzGAKfXRY,203,7,29,29,training,203
oz2vzCdshG0,2970,99,30,30,validation,2970
b695f-Zntss,90,3,30,30,training,90
TV1Ug2kBjdg,1675,67,25,25,validation,1675
hN4X1wPNmyg,87,3,29,29,training,87
P1CB6fztOHA,725,29,25,25,validation,725
1OyOhmIzg38,900,30,30,30,training,900
dZUjPjavksQ,900,30,30,30,training,900
kEsXRE4acLM,900,30,30,30,training,900
bolHAE0yteE,841,29,29,29,validation,841
Os1gxDjOo-o,900,30,30,30,training,900
85ht0OK3YOg,750,30,25,25,training,750
WjeBbX5NaVw,725,29,25,25,training,725
7cYQ8nfYCQA,1160,40,29,29,training,1160
3ggUl2BeSW4,900,30,30,30,training,900
1Fk4LisnLMM,870,30,29,29,training,870
1LO7UFtbdzs,900,30,30,30,training,900
qwmb5TwIxs4,900,30,30,30,training,900
#NAME?,900,30,30,30,training,900
7-BOc4NQPsE,870,30,29,29,training,870
i-2lX6L_cW0,950,38,25,25,validation,950
l-isiGxrEbo,841,29,29,29,training,841
qw9g4aZjygc,870,30,29,29,training,870
DD6ZNyTZkg8,870,30,29,29,training,870
LkuBaFiIf4M,870,30,29,29,validation,870
PU8QJT-p3uY,510,30,17,17,null,510
kbAj3vBzAsg,750,30,25,25,validation,750
yTuxxZb2_wQ,759,33,23,23,null,759
dw2zphftUr4,990,33,30,30,training,990
FoXhHMrY9hw,900,30,30,30,training,900
89lQGsI6h7I,900,30,30,30,training,900
euXlG-3dt0U,870,30,29,29,training,870
HjflIHDZK3A,900,30,30,30,training,900
133eDEgHMsI,870,29,30,30,training,870
PCCgxH-ExRk,900,30,30,30,null,900
H2SYck3ch2E,870,30,29,29,validation,870
tn4B_s8Wttk,2262,78,29,29,training,2262
1nWW_biRjGY,585,39,15,15,training,585
xlFuOILccTU,310,31,10,10,null,310
P5QhQ6ddpfA,592,37,16,16,training,592
9t2A_9hNO3g,825,33,25,25,validation,825
EOK_JWl1ku4,900,30,30,30,null,900
y5lWovg1lHM,792,33,24,24,training,792
5Fq89d2TgLI,1015,35,29,29,training,1015
aajtN8uAOOE,900,30,30,30,null,900
K7ANafUfjI4,870,30,29,29,training,870
8iACacD4aHQ,900,30,30,30,training,900
UGVjyDRs8uM,1450,50,29,29,training,1450
sRLghfbOQr8,870,30,29,29,training,870
1oNTEUpmeJE,1890,63,30,30,training,1890
q187W9ORInc,720,30,24,24,training,720
mOhzriVqY98,900,30,30,30,training,900
DlUdV7rKrRk,870,30,29,29,validation,870
yV9Gu3L0HRY,900,30,30,30,training,900
UxcppDqjnI8,1590,53,30,30,training,1590
JLSYE547B5k,1160,40,29,29,training,1160
LKawaVomxW4,1595,55,29,29,validation,1595
7RbnC-JJYFY,870,30,29,29,training,870
QqJVaEVX0ao,870,30,29,29,training,870
bfv8IOUG_kA,450,30,15,15,training,450
txnPa92XDJk,1620,54,30,30,validation,1620
smtQvd-8_lA,1885,65,29,29,training,1885
VynI-Cx3bZc,750,30,25,25,training,750
#NAME?,900,30,30,30,training,900
01eHj4xWX8k,1073,37,29,29,training,1073
MllSgiD-PLM,3422,118,29,29,training,3422
R6CLE7pojqI,870,30,29,29,training,870
JQIu04vu94Y,928,32,29,29,training,928
38h-ckl0xmw,870,30,29,29,training,870
O-QePazZlJ0,900,30,30,30,training,900
YexNG0SepuA,870,30,29,29,training,870
TPf18DdP3mE,1102,38,29,29,null,1102
C99uS90sb3c,1044,36,29,29,training,1044
O6XEdI5k55Y,1080,36,30,30,validation,1080
EQoovc4NhvI,1530,51,30,30,training,1530
vIHbVJCfVxk,850,34,25,25,training,850
#NAME?,960,32,30,30,training,960
xVehx0MYzJ0,870,30,29,29,null,870
Klris-dR6Gk,775,31,25,25,null,775
097U6hUHdxA,750,30,25,25,validation,750
8ev0wagjDW8,360,30,12,12,training,360
eyuDLI7jCr0,900,30,30,30,training,900
CO-I6NJxCYU,870,30,29,29,training,870
f1Hdp7Ii2cY,900,30,30,30,training,900
izuum9sHSUg,900,30,30,30,training,900
0Q4G1reVjRE,900,30,30,30,validation,900
cnh7QyhROWM,825,33,25,25,validation,825
VLueMLOIeds,870,30,29,29,training,870
eiOnkhdZY54,870,30,29,29,training,870
ascttxulRPI,750,30,25,25,training,750
5_ZO2QRLqP4,750,30,25,25,training,750
kUrLmGkciLs,900,30,30,30,null,900
HDUDcMZuIFk,875,35,25,25,training,875
mVW8KBFwes0,870,30,29,29,training,870
VS1mjTYLfDc,690,30,23,23,training,690
_pbgkt1m9os,870,30,29,29,validation,870
q_j3HrSjr9A,7175,287,25,25,training,7175
YA1iJ_29Rxo,782,34,23,23,validation,782
BBM8b2RauAk,2552,88,29,29,validation,2552
AH2Xc3dN_MM,870,30,29,29,validation,870
fIod2nhNMk8,870,30,29,29,null,870
YZvdfy9lUMU,870,30,29,29,training,870
ATfpFkor8qQ,1344,48,28,28,training,1344
zKkyxvJFZ50,870,30,29,29,validation,870
7oqpL5vbj9E,870,30,29,29,training,870
A30hzyYKao8,690,30,23,23,training,690
NvTnGYHW8pU,690,30,23,23,training,690
FtEvFCKWXdo,1560,65,24,24,training,1560
Zu9m-OHdQl4,870,30,29,29,validation,870
jV00c68zF6o,870,30,29,29,training,870
tsvnxbTVKFM,1140,38,30,30,training,1140
O1hfXdYIu4U,720,30,24,24,validation,720
k-inHRNv-sM,957,33,29,29,training,957
Eg8H18O30QU,900,30,30,30,validation,900
iZXyiqOO4PU,900,30,30,30,validation,900
9xkS_mPFSPo,900,30,30,30,training,900
B1zu0zA6hCw,900,30,30,30,training,900
36n_0VpR_k0,870,30,29,29,training,870
9MCI3BLOufE,870,30,29,29,training,870
i_-K0cXdCoM,825,33,25,25,validation,825
hTy72ItXxdM,1450,50,29,29,training,1450
Qoi7RKapT64,690,30,23,23,validation,690
4LaS6W6hFeI,1050,35,30,30,training,1050
0a_FXKzPOBY,900,30,30,30,validation,900
0IqSlE7yWCw,900,30,30,30,training,900
qHR0aOTC7Rc,775,31,25,25,validation,775
q6j0eCnN4sA,2100,84,25,25,training,2100
F8JIN6pG59E,930,31,30,30,training,930
EWHQmfE6T1I,750,30,25,25,null,750
tia2aYOjVUM,1247,43,29,29,training,1247
GsKUksPHi5s,1392,48,29,29,training,1392
HJJK7XENfIg,870,30,29,29,validation,870
efEmCy7mO8s,900,30,30,30,training,900
KERO-c1L5Mc,900,30,30,30,training,900
a6sJTRKt08w,825,33,25,25,training,825
jddRfOvc4Sg,870,30,29,29,training,870
2oxQze24XQc,775,31,25,25,validation,775
QfzXjn-EOhg,1530,51,30,30,training,1530
nYZ4SkR8fAI,1110,37,30,30,training,1110
oLO7WPnLXF4,900,30,30,30,null,900
hQZCX9Yb7is,925,37,25,25,training,925
HUsDTIgQd5E,870,30,29,29,training,870
GVsk7e-uhnY,870,30,29,29,training,870
SPMQy2mEPhk,900,30,30,30,training,900
T5js8q389Lo,870,30,29,29,training,870
F8hc2x_VQsY,900,30,30,30,training,900
yoxHwdnBUY0,900,30,30,30,training,900
MlsS8be_FZM,870,30,29,29,training,870
rM11FJgPWX4,870,30,29,29,training,870
1RGZcirxnDc,900,30,30,30,validation,900
9asC_9CW7lI,1625,65,25,25,validation,1625
w5tLb5CDH3U,975,39,25,25,training,975
LKMqbgKPOzs,800,32,25,25,training,800
7_QY_F0MPW0,900,30,30,30,validation,900
Xk3q6YZ6ISw,1650,55,30,30,null,1650
mit9-JKA6gA,900,30,30,30,training,900
d_kUyIeG9es,3741,129,29,29,training,3741
jvn19_XEzSE,1050,42,25,25,null,1050
6OXDVPvf4To,690,30,23,23,training,690
C8_U35-YLXg,870,30,29,29,training,870
n7RMX79VXTg,900,30,30,30,training,900
_0UONUTlN-U,870,30,29,29,validation,870
_kQqM2yaXSw,870,30,29,29,training,870
xhKAiy6aNRI,900,30,30,30,training,900
4soerJcb0zw,870,30,29,29,training,870
tIJKtuolpj0,1320,44,30,30,training,1320
zY9AmV2-iO8,900,30,30,30,training,900
b8ZP4HLFYMw,870,30,29,29,training,870
ih7BbH0hh2s,900,30,30,30,training,900
P2A5RjQaPPw,870,30,29,29,training,870
0yeKFIj5R5E,870,30,29,29,training,870
kYjNXoImuwA,900,30,30,30,training,900
Q3hRX-s8FYU,870,30,29,29,null,870
1CX4Dg2HDSM,9000,300,30,30,training,9000
KbqSeNbu4uU,9000,300,30,30,training,9000
OfJNeZVbxso,8700,300,29,29,training,8700
8MdYSn_Pc04,8100,300,27,27,validation,8100
vfhIa-rG8f0,9630,321,30,30,training,9630
qtmFm02cEOI,8874,306,29,29,validation,8874
op8rDGNTNpc,11280,376,30,30,training,11280
iniZ0oo95y4,8729,301,29,29,validation,8729
rfOnnWLYr3c,7800,312,25,25,training,7800
WnJOBP1zI48,8729,301,29,29,training,8729
l5-8-Mf-LzI,4515,301,15,15,validation,4515
DUZGX6Mgf7Y,8729,301,29,29,training,8729
MvqFBr4EjCE,7550,302,25,25,training,7550
xYPfYHSWDXI,8903,307,29,29,training,8903
atDTX-mNpG0,9120,304,30,30,training,9120
PFQ9YeupL70,8816,304,29,29,training,8816
xmwuETpwADg,8845,305,29,29,training,8845
HSOPboeAF_w,9048,312,29,29,training,9048
kDEEC0QW9cg,9420,314,30,30,training,9420
6fc8xDORAgQ,15810,527,30,30,validation,15810
Dfo5D1vUfoI,9019,311,29,29,training,9019
3r3KcWpn9Bk,8450,338,25,25,training,8450
LCPhS6Fc-18,9300,310,30,30,training,9300
J1xtL6I28Tg,8903,307,29,29,validation,8903
m9wC3xQK8h0,9390,313,30,30,training,9390
PznqNmlk30o,9240,308,30,30,validation,9240
xttOFv-bpBM,9240,308,30,30,training,9240
qjK342lnItA,9240,308,30,30,training,9240
4wKvh5_-ffM,9480,316,30,30,training,9480
fEPbJY4iXrY,10846,374,29,29,training,10846
V3B9sjyW-Lc,10230,341,30,30,null,10230
AlAcTH4k2gw,8961,309,29,29,training,8961
JjnossdPmuo,7725,309,25,25,validation,7725
FtENajvp-n8,8961,309,29,29,validation,8961
DzMnpX7PVkg,805,35,23,23,training,805
pPSFGyXTZG0,930,31,30,30,training,930
zCwLvT0tztA,310,31,10,10,training,310
VMBkJejpb44,899,31,29,29,training,899
spVCxUk7flw,1015,35,29,29,null,1015
DAH7lHKq5sM,899,31,29,29,training,899
HmHwdarcSqo,899,31,29,29,training,899
6w2lb6wWBVo,930,31,30,30,training,930
fHUpwaAxe2E,899,31,29,29,training,899
SwpxOWQn-VI,899,31,29,29,training,899
kRPwIsJ00_I,899,31,29,29,training,899
u2Kvo8c5YBQ,900,36,25,25,training,900
2r4odS6-aPk,899,31,29,29,training,899
POSlxGOxHRI,930,31,30,30,training,930
#NAME?,775,31,25,25,training,775
ccWyjdbtuqs,713,31,23,23,training,713
h4MFnlcpaM0,1000,40,25,25,training,1000
7VojDgSg7M8,775,31,25,25,training,775
dslnJmpjVco,899,31,29,29,training,899
Xm5sUxndAWQ,960,32,30,30,validation,960
afzpYGsHLFI,1044,36,29,29,training,1044
Tm10mFRAiMQ,899,31,29,29,training,899
O_RWdivZX9Q,930,31,30,30,training,930
vR8x0Kfg5b0,930,31,30,30,training,930
KZuYRINyWuk,1350,45,30,30,training,1350
z-xLc6b88uA,713,31,23,23,training,713
vqOh3SamtB8,899,31,29,29,training,899
BAil67ZKUpc,5910,197,30,30,training,5910
LTq_ZhhQLTM,1073,37,29,29,training,1073
si189c7qGzY,899,31,29,29,training,899
5a9WcdHVID8,930,31,30,30,training,930
ojkXr1XC4-M,899,31,29,29,training,899
6ZSsMR-GGME,775,31,25,25,null,775
ClHLv0BLvPk,1260,42,30,30,training,1260
ByWzC3w5hi8,899,31,29,29,training,899
1XwWQ9bzDps,957,33,29,29,validation,957
XtaDzDE18bk,899,31,29,29,training,899
lpcDSu2q4BI,750,30,25,25,training,750
NnCUZQHlFl0,930,31,30,30,training,930
TO7t2Hv2f7k,930,31,30,30,training,930
C824cb29YOw,960,32,30,30,validation,960
761ef0UOOjs,899,31,29,29,validation,899
L0GBly1-P0A,899,31,29,29,training,899
CB_I695ZJ4A,899,31,29,29,training,899
8Oq6RonyM24,930,31,30,30,training,930
FErsRFpn_GM,930,31,30,30,training,930
IcjPgLJlURw,899,31,29,29,validation,899
FiYfSB_64Ro,744,31,24,24,training,744
HsdYPfsnKVc,930,31,30,30,training,930
y38TUqHMuKE,930,31,30,30,null,930
ljhr8UUzgms,899,31,29,29,training,899
a9dCnDTpeJY,930,31,30,30,training,930
WWsSFh0Z7Ro,960,32,30,30,training,960
HUYMHEqepyc,775,31,25,25,training,775
GTeTUCq9IK4,465,31,15,15,training,465
1lzpBOwGYIg,899,31,29,29,training,899
qBoJaEqn6Hw,930,31,30,30,training,930
5ETRW0hdLEQ,899,31,29,29,training,899
mOqKl6Kcm6A,4089,141,29,29,training,4089
hTvrJgmyRKg,960,32,30,30,null,960
l3pvgYxLF0o,899,31,29,29,training,899
nA9dmNiK2Yw,899,31,29,29,training,899
bRtyZiHbZ-U,930,31,30,30,training,930
wMERJdlNNys,930,31,30,30,training,930
JjerSlxbXO8,868,31,28,28,validation,868
H0TFKkNfblM,960,32,30,30,training,960
SeQkbI2sTMY,930,31,30,30,validation,930
sw8GnkOZyYA,775,31,25,25,training,775
8U3gsyuZtj8,899,31,29,29,validation,899
7Xd09q9_PPs,930,31,30,30,training,930
8q0uFvvaNm8,930,31,30,30,training,930
fjbqCoJnEpQ,986,34,29,29,training,986
#NAME?,1189,41,29,29,validation,1189
RIDSrwyUr6Y,930,31,30,30,null,930
amfHR9lGxZ0,465,31,15,15,training,465
pNvoevnvv5Y,899,31,29,29,null,899
Hweoj-D-bKU,986,34,29,29,training,986
YteP_eN_Pkw,960,32,30,30,training,960
h3eQT3Fsr90,899,31,29,29,training,899
WrFic4JJHPA,217,31,7,7,training,217
Y0SgURey-bk,930,31,30,30,training,930
C468IFpMY8A,1653,57,29,29,validation,1653
sNEGuGd0PZo,1073,37,29,29,training,1073
Qz5PPULI2do,928,32,29,29,training,928
100bwzPzFy8,930,31,30,30,training,930
sb9O_VGWads,930,31,30,30,validation,930
xX7b1k0GBEc,868,31,28,28,null,868
982Z1Y-IBfw,930,31,30,30,training,930
xJIozvO4KfI,775,31,25,25,training,775
#NAME?,899,31,29,29,training,899
0c6EBkc8leo,899,31,29,29,training,899
JWT6Tz9Ce3s,775,31,25,25,null,775
A0YupWTsWuI,930,31,30,30,training,930
knjzbUqc5q0,930,31,30,30,training,930
ktLwAnb0aQI,759,33,23,23,training,759
KtRaHZLABwc,925,37,25,25,null,925
cvJ441w8SLY,899,31,29,29,validation,899
5oFG933Gyzw,930,31,30,30,training,930
VZpTG0XrmQs,930,31,30,30,training,930
enGBuGtOxYo,1500,60,25,25,training,1500
2UzgNuVTbF4,930,31,30,30,training,930
W_L2FMCpBio,930,31,30,30,training,930
Pv-cXe0u1pM,775,31,25,25,validation,775
#NAME?,930,31,30,30,training,930
Tz3aXT5JIw0,930,31,30,30,training,930
1WnaHu0PgL8,960,32,30,30,training,960
8Wp1gn7pbiE,930,31,30,30,validation,930
_6mcn6KAGk8,930,31,30,30,validation,930
G9WhV6AOHWE,4379,151,29,29,training,4379
tVC7bby7m0w,930,31,30,30,validation,930
zfDcg57w_So,899,31,29,29,training,899
jCoHR4rWVQs,930,31,30,30,training,930
bmI-osYpB4k,899,31,29,29,training,899
QLDz_FFetE8,775,31,25,25,validation,775
lWkKEIyKDSA,8225,329,25,25,training,8225
ZRH2LwPbYoY,11426,394,29,29,training,11426
CYZBvtvddZ4,8990,310,29,29,validation,8990
ij8odCdgRR8,9300,310,30,30,training,9300
dm_AHM1UMn4,9450,315,30,30,training,9450
W3hUBWBsyFs,9570,330,29,29,validation,9570
Xixgt7WYKGo,9360,312,30,30,training,9360
y4NiN7zRin4,16182,558,29,29,training,16182
GWuh47gxxdY,7825,313,25,25,training,7825
fwgIh3pPslI,9390,313,30,30,validation,9390
aVnuHLCecU0,9570,330,29,29,validation,9570
IvOi1vjMgRo,9106,314,29,29,training,9106
jLkd2zayXFg,9420,314,30,30,training,9420
nQ7at5SToDA,7850,314,25,25,training,7850
u0R_ro0B1ko,9420,314,30,30,training,9420
oxNElW3OiuA,9450,315,30,30,training,9450
eTf7Uaol61U,9450,315,30,30,validation,9450
sUyHVhUglwA,10469,361,29,29,training,10469
V3GHxCdQ7gY,9480,316,30,30,training,9480
HPnKDL1q6sY,9193,317,29,29,training,9193
J1Q2IszNFzQ,9280,320,29,29,training,9280
jEX8hzaH8U8,9309,321,29,29,training,9309
C-J7qx2RGh8,9222,318,29,29,training,9222
CkfiITbjuaU,10890,363,30,30,validation,10890
v8TMNkBgo7U,960,32,30,30,validation,960
4eG8tLd3NoY,960,32,30,30,training,960
IflcLesaypY,744,31,24,24,validation,744
K-n9zXmfw68,851,37,23,23,training,851
ux-ipO_6fXg,1711,59,29,29,null,1711
MEJYRrta0-A,928,32,29,29,validation,928
PXZRrYZbrAY,928,32,29,29,training,928
mULSFZCeSJQ,928,32,29,29,training,928
qt0lHhr7s5g,1305,45,29,29,training,1305
dqF9S5J4yoM,928,32,29,29,training,928
hos05x3ceIA,736,32,23,23,training,736
Of_zxH69RM0,960,32,30,30,training,960
lvUXty9X3BE,960,32,30,30,training,960
GSBC0XdMgfA,960,32,30,30,training,960
uSUjOZSdiC4,2465,85,29,29,validation,2465
mazxk3MyjkQ,1470,49,30,30,null,1470
17frMCh6VOg,1073,37,29,29,validation,1073
jAQCTRGoL5Y,2001,69,29,29,validation,2001
EzvZYP_StIg,960,32,30,30,training,960
V0ntn1oKBJQ,960,32,30,30,training,960
MgHH8S11_co,736,32,23,23,training,736
vsEPWKjwHcg,928,32,29,29,validation,928
fjAOYsaa2bU,928,32,29,29,training,928
L--tRZdUXP8,930,31,30,30,training,930
3vwzYSJonJU,1075,43,25,25,null,1075
dGFHM8GeuAI,1160,40,29,29,training,1160
Uc-MvcR1oSc,759,33,23,23,training,759
F51ZedSeMS0,640,32,20,20,training,640
Np8a0yZRI3s,960,32,30,30,training,960
pklwPwA7ziE,448,32,14,14,training,448
xrTfywV_TBY,928,32,29,29,training,928
oYmqh_L7W9w,448,32,14,14,training,448
q7152FH5NyA,1200,40,30,30,training,1200
iXlpMCiwohA,1350,45,30,30,training,1350
jiO8V39_jC4,768,32,24,24,training,768
W4p9sqSKl5w,990,33,30,30,training,990
c-1bTzhn9Do,736,32,23,23,training,736
tdQzzdKTG3Q,1110,37,30,30,validation,1110
qRu9qOvXAR0,928,32,29,29,training,928
MkUKjzbzypw,960,32,30,30,training,960
a3Zpcy6rhl0,960,32,30,30,training,960
4TrZ8niNrgQ,736,32,23,23,training,736
7_LZGqLnA8A,800,32,25,25,training,800
EX7n6j8bmfY,928,32,29,29,training,928
fTDWsIjIoYo,1073,37,29,29,training,1073
ORc30VHkldE,990,33,30,30,training,990
mceBcbpbogc,3915,135,29,29,training,3915
6lqTLnlbxdk,960,32,30,30,training,960
z9JaMdzkq9Y,960,32,30,30,training,960
6WCcNy4SAzA,2850,95,30,30,null,2850
Z-VmPCjZQRc,1350,54,25,25,training,1350
NM87CkmKGLE,928,32,29,29,training,928
V96w0g9w3eo,928,32,29,29,validation,928
Hg9nGkHhp8I,1073,37,29,29,training,1073
i8ePC-p2Xoo,1000,40,25,25,training,1000
i6zHcwGkfhs,928,32,29,29,training,928
cbs3b8AGbM4,800,32,25,25,validation,800
TcyuelAtJuU,800,32,25,25,training,800
YYR049zlO68,960,32,30,30,training,960
cy0CTgBN7dg,1020,34,30,30,training,1020
5WeP-0Hjdcg,1368,57,24,24,training,1368
sE4oQiejDvU,960,32,30,30,training,960
5_Hj7KnLRew,928,32,29,29,training,928
jI4Wp_otwKo,960,32,30,30,validation,960
UsaN006iRw8,960,32,30,30,training,960
TgOsvhekBRQ,928,32,29,29,validation,928
xlRuLhFV6Bk,1015,35,29,29,training,1015
oFuwQQoDfcQ,1080,36,30,30,training,1080
XdVuzK0iT58,476,34,14,14,training,476
ZtbbNHfOySI,1188,44,27,27,training,1188
Tx3nSqdeTps,960,32,30,30,training,960
IPJlyqZNgBc,1500,50,30,30,training,1500
emdDIz7qm8Y,928,32,29,29,training,928
4UZ4nVZWAhQ,928,32,29,29,training,928
bVhEqb6329Q,960,32,30,30,null,960
#NAME?,928,32,29,29,training,928
V-SrKBEM-0E,990,33,30,30,training,990
l8oJQi1A9XE,928,32,29,29,null,928
#NAME?,825,33,25,25,training,825
1i4mHU8mFLg,960,32,30,30,training,960
UiZ2NyRplh4,928,32,29,29,validation,928
Za782gqJilI,2784,96,29,29,training,2784
46FbJ71iegk,928,32,29,29,training,928
gGOz3xeCYOQ,960,32,30,30,validation,960
vTU-n5oPS9c,960,32,30,30,validation,960
zTSCVF0kzeU,320,32,10,10,training,320
CoCMF0pGjxw,8520,284,30,30,training,8520
udTLD8QB-Dc,966,42,23,23,null,966
CpVBw4PCGis,1015,35,29,29,training,1015
NPyA2B_TquA,960,32,30,30,training,960
wQe4MQIWPTg,975,39,25,25,training,975
I4QsF3lXitM,960,32,30,30,training,960
XSIk4b9ZQJg,960,32,30,30,validation,960
Bl5cwgNVfRw,960,32,30,30,training,960
fLsN6rKMGeg,280,35,8,8,validation,280
f7TXfWadCY0,800,32,25,25,validation,800
bRQVykLp9ho,800,32,25,25,training,800
A4-mf5GAJWY,928,32,29,29,training,928
QZojrmYP3Yg,480,32,15,15,training,480
vUW8OH0YBxc,3550,142,25,25,training,3550
pOyR4hOvQTY,928,32,29,29,training,928
FM7CYraV_LI,9660,322,30,30,training,9660
Ycgh-3jAj14,9280,320,29,29,training,9280
GV_whUJXmCk,9660,322,30,30,training,9660
QZcx3IVzSZI,9744,336,29,29,training,9744
UheRzFJLjgQ,9660,322,30,30,training,9660
Kj7HWttkm_E,9367,323,29,29,training,9367
wIW-tTIf7QU,9990,333,30,30,training,9990
mIJYGY0Cmec,4860,324,15,15,training,4860
u2mBpj_4RBI,9720,324,30,30,training,9720
ieriiKBihtQ,9425,325,29,29,validation,9425
y2JsEpzKX30,3330,333,10,10,training,3330
ATgGRM-hQDg,11397,393,29,29,null,11397
AUt5P7XgDfw,9750,325,30,30,training,9750
JjErYtQjIlE,9425,325,29,29,training,9425
pPkRuDiFfqE,9425,325,29,29,training,9425
6OJkjeVn764,9454,326,29,29,training,9454
UCBeEi0kDUw,9454,326,29,29,validation,9454
jhj6QSxSEGE,8150,326,25,25,training,8150
Mk2VH9X369E,10380,346,30,30,training,10380
4Uf1G507_R4,8300,332,25,25,training,8300
UkfzfGP8Hrs,9512,328,29,29,training,9512
qmspsSQ-sLg,9570,330,29,29,training,9570
N6ii7q3O6u0,800,80,10,10,training,800
3NSfGbqGQqA,1980,66,30,30,validation,1980
ZUI1EjDWeUk,1050,35,30,30,training,1050
f4_3mmZuo1E,990,33,30,30,training,990
3doY0lKfKRA,990,33,30,30,training,990
tU4CNLtGI-Y,825,33,25,25,validation,825
lPC0zFARf9w,990,33,30,30,training,990
bJifdpef8TI,2670,89,30,30,training,2670
edVggvoVopA,957,33,29,29,training,957
RR3op7_IY4M,768,32,24,24,training,768
X1h4h4dsj3c,928,32,29,29,validation,928
1oU9py1Fu34,1595,55,29,29,validation,1595
vHSQrW9O72o,957,33,29,29,training,957
3glUlpgzGcA,957,33,29,29,null,957
x8hqlZJY4iE,957,33,29,29,training,957
sK9KTHx1VEY,957,33,29,29,training,957
VLEVMqve8jk,957,33,29,29,training,957
wVSKetde4a8,1102,38,29,29,training,1102
2kIJXo4eNc8,1020,34,30,30,training,1020
LAeWNHXOrlU,1218,42,29,29,training,1218
CjKWSod0IRQ,957,33,29,29,training,957
my_3VrMToiA,990,33,30,30,training,990
Rd7jpNN2a6c,957,33,29,29,validation,957
h3L1QJufzos,957,33,29,29,training,957
qcREDkBccU8,900,36,25,25,training,900
DM-quA_HR_I,957,33,29,29,validation,957
Z3GwovL_0gM,495,33,15,15,null,495
89RDBn9zagI,990,33,30,30,training,990
GmjLzOe7eE8,957,33,29,29,validation,957
3rUINfKvPVE,850,34,25,25,training,850
d09ZK68LeBM,1080,36,30,30,validation,1080
8fIXIyHoc6U,957,33,29,29,training,957
9If0j7o1xyg,957,33,29,29,null,957
VDh7clrjdAE,1800,60,30,30,validation,1800
KKVLHfbfAgo,957,33,29,29,training,957
_7GUV7W_gtk,1421,49,29,29,training,1421
i6BoF5DfTLs,957,33,29,29,validation,957
DDy50zNa0G4,957,33,29,29,training,957
KGR1_BgYcZY,986,34,29,29,training,986
5_XJSxD9u_4,986,34,29,29,null,986
RGdgZMNd_qM,990,33,30,30,training,990
KZ8JMbPWvMQ,825,33,25,25,training,825
umRusEwO0uU,990,33,30,30,training,990
yBqFXK3M3Sc,1020,34,30,30,validation,1020
n1py4RKvAOM,6990,233,30,30,training,6990
AqOMA3yNGa4,957,33,29,29,training,957
thlGxl7FdeI,928,32,29,29,training,928
ToMD3uvHqtk,990,33,30,30,training,990
tNZMl0JJF_g,1885,65,29,29,training,1885
YK-XjMMphBI,990,33,30,30,training,990
